from	to	score
AluSg	FRAM	255
AluSg	SVA_A	262
AluSg	SVA_B	222
AluSg	SVA_C	203
AluSg	SVA_D	203
AluSg	SVA_E	194
AluSg	SVA_F	80.6
AluSp	AluJb	458
AluSp	AluJo	426
AluSp	AluJr	422
AluSp	AluJr4	418
AluSp	AluSc	488
AluSp	AluSc5	479
AluSp	AluSc8	480
AluSp	AluSg	514
AluSp	AluSg4	496
AluSp	AluSg7	483
AluSp	AluSq	538
AluSp	AluSq10	498
AluSp	AluSq2	538
AluSp	AluSq4	517
AluSp	AluSx	526
AluSp	AluSx1	521
AluSp	AluSx3	503
AluSp	AluSx4	500
AluSp	AluSz	521
AluSp	AluSz6	503
AluSp	AluY	467
AluSp	AluYRa1	427
AluSp	AluYRa2	436
AluSp	AluYRa3	436
AluSp	AluYRa4	428
AluSp	AluYRb1	416
AluSp	AluYRb2	402
AluSp	AluYRb3	411
AluSp	AluYRc0	454
AluSp	AluYRc1	450
AluSp	AluYRc2	436
AluSp	AluYRd1	414
AluSp	AluYRd2	418
AluSp	AluYRd4	414
AluSp	AluYa5	444
AluSp	AluYa8	437
AluSp	AluYb8	418
AluSp	AluYb9	418
AluSp	AluYc	428
AluSp	AluYc3	417
AluSp	AluYd8	401
AluSp	AluYe5	440
AluSp	AluYe6	435
AluSp	AluYg6	458
AluSp	AluYh9	431
AluSp	AluYk11	426
AluSp	AluYk12	435
AluSp	AluYk4	449
AluSp	FAM	180
AluSp	FLAM_A	136
AluSp	FLAM_C	173
AluSp	FRAM	231
AluSp	SVA_A	245
AluSp	SVA_B	211
AluSp	SVA_C	191
AluSp	SVA_D	191
AluSp	SVA_E	182
AluSp	SVA_F	74.3
AluSq10	AluJb	449
AluSq10	AluJo	413
AluSq10	AluJr	408
AluSq10	AluJr4	405
AluSq10	AluSc	474
AluSq10	AluSc5	465
AluSq10	AluSc8	476
AluSq10	AluSg	500
AluSq10	AluSg4	500
AluSq10	AluSg7	492
AluSq10	AluSp	498
AluSq10	AluSq	516
AluSq10	AluSq2	525
AluSq10	AluSq4	495
AluSq10	AluSx	512
AluSq10	AluSx1	517
AluSq10	AluSx3	489
AluSq10	AluSx4	487
AluSq10	AluSz	508
AluSq10	AluSz6	485
AluSq10	AluY	462
AluSq10	AluYRa1	423
AluSq10	AluYRa2	432
AluSq10	AluYRa3	436
AluSq10	AluYRa4	424
AluSq10	AluYRb1	407
AluSq10	AluYRb2	384
AluSq10	AluYRb3	402
AluSq10	AluYRc0	450
AluSq10	AluYRc1	445
AluSq10	AluYRc2	432
AluSq10	AluYRd1	423
AluSq10	AluYRd2	427
AluSq10	AluYRd4	423
AluSq10	AluYa5	440
AluSq10	AluYa8	433
AluSq10	AluYb8	427
AluSq10	AluYb9	427
AluSq10	AluYc	419
AluSq10	AluYc3	408
AluSq10	AluYd8	397
AluSq10	AluYe5	435
AluSq10	AluYe6	431
AluSq10	AluYg6	435
AluSq10	AluYh9	426
AluSq10	AluYk11	417
AluSq10	AluYk12	431
AluSq10	AluYk4	444
AluSq10	FAM	86.0
AluSq10	FLAM_A	140
AluSq10	FLAM_C	178
AluSq10	FRAM	86.0
AluSq10	SVA_A	232
AluSq10	SVA_B	191
AluSq10	SVA_C	171
AluSq10	SVA_D	171
AluSq10	SVA_E	165
AluSq2	AluJb	476
AluSq2	AluJo	440
AluSq2	AluJr	435
AluSq2	AluJr4	432
AluSq2	AluSc	506
AluSq2	AluSc5	497
AluSq2	AluSc8	499
AluSq2	AluSg	532
AluSq2	AluSg4	523
AluSq2	AluSg7	510
AluSq2	AluSp	538
AluSq2	AluSq	556
AluSq2	AluSq10	525
AluSq2	AluSq4	535
AluSq2	AluSx	544
AluSq2	AluSx1	548
AluSq2	AluSx3	521
AluSq2	AluSx4	518
AluSq2	AluSz	539
AluSq2	AluSz6	517
AluSq2	AluY	494
AluSq2	AluYRa1	454
AluSq2	AluYRa2	463
AluSq2	AluYRa3	459
AluSq2	AluYRa4	451
AluSq2	AluYRb1	438
AluSq2	AluYRb2	416
AluSq2	AluYRb3	434
AluSq2	AluYRc0	481
AluSq2	AluYRc1	477
AluSq2	AluYRc2	463
AluSq2	AluYRd1	441
AluSq2	AluYRd2	445
AluSq2	AluYRd4	441
AluSq2	AluYa5	471
AluSq2	AluYa8	464
AluSq2	AluYb8	445
AluSq2	AluYb9	445
AluSq2	AluYc	451
AluSq2	AluYc3	440
AluSq2	AluYd8	424
AluSq2	AluYe5	467
AluSq2	AluYe6	462
AluSq2	AluYg6	476
AluSq2	AluYh9	458
AluSq2	AluYk11	449
AluSq2	AluYk12	462
AluSq2	AluYk4	476
AluSq2	FAM	176
AluSq2	FLAM_A	144
AluSq2	FLAM_C	182
AluSq2	FRAM	235
AluSq2	SVA_A	250
AluSq2	SVA_B	220
AluSq2	SVA_C	200
AluSq2	SVA_D	200
AluSq2	SVA_E	191
AluSq2	SVA_F	76.1
AluSq4	AluJb	460
AluSq4	AluJo	424
AluSq4	AluJr	419
AluSq4	AluJr4	416
AluSq4	AluSc	505
AluSq4	AluSc5	496
AluSq4	AluSc8	498
AluSq4	AluSg	531
AluSq4	AluSg4	522
AluSq4	AluSg7	509
AluSq4	AluSp	517
AluSq4	AluSq	545
AluSq4	AluSq10	495
AluSq4	AluSq2	535
AluSq4	AluSx	523
AluSq4	AluSx1	527
AluSq4	AluSx3	520
AluSq4	AluSx4	517
AluSq4	AluSz	523
AluSq4	AluSz6	500
AluSq4	AluY	493
AluSq4	AluYRa1	453
AluSq4	AluYRa2	462
AluSq4	AluYRa3	462
AluSq4	AluYRa4	450
AluSq4	AluYRb1	437
AluSq4	AluYRb2	424
AluSq4	AluYRb3	433
AluSq4	AluYRc0	480
AluSq4	AluYRc1	467
AluSq4	AluYRc2	462
AluSq4	AluYRd1	440
AluSq4	AluYRd2	444
AluSq4	AluYRd4	440
AluSq4	AluYa5	471
AluSq4	AluYa8	463
AluSq4	AluYb8	440
AluSq4	AluYb9	440
AluSq4	AluYc	450
AluSq4	AluYc3	439
AluSq4	AluYd8	432
AluSq4	AluYe5	466
AluSq4	AluYe6	462
AluSq4	AluYg6	475
AluSq4	AluYh9	453
AluSq4	AluYk11	453
AluSq4	AluYk12	462
AluSq4	AluYk4	475
AluSq4	FAM	176
AluSq4	FLAM_A	137
AluSq4	FLAM_C	175
AluSq4	FRAM	226
AluSq4	SVA_A	247
AluSq4	SVA_B	217
AluSq4	SVA_C	197
AluSq4	SVA_D	197
AluSq4	SVA_E	188
AluSq4	SVA_F	78.8
AluSq	AluJb	476
AluSq	AluJo	440
AluSq	AluJr	435
AluSq	AluJr4	432
AluSq	AluSc	506
AluSq	AluSc5	497
AluSq	AluSc8	499
AluSq	AluSg	532
AluSq	AluSg4	523
AluSq	AluSg7	510
AluSq	AluSp	538
AluSq	AluSq10	516
AluSq	AluSq2	556
AluSq	AluSq4	545
AluSq	AluSx	544
AluSq	AluSx1	548
AluSq	AluSx3	521
AluSq	AluSx4	518
AluSq	AluSz	539
AluSq	AluSz6	517
AluSq	AluY	494
AluSq	AluYRa1	454
AluSq	AluYRa2	463
AluSq	AluYRa3	463
AluSq	AluYRa4	451
AluSq	AluYRb1	438
AluSq	AluYRb2	425
AluSq	AluYRb3	434
AluSq	AluYRc0	481
AluSq	AluYRc1	468
AluSq	AluYRc2	463
AluSq	AluYRd1	441
AluSq	AluYRd2	445
AluSq	AluYRd4	441
AluSq	AluYa5	471
AluSq	AluYa8	464
AluSq	AluYb8	445
AluSq	AluYb9	445
AluSq	AluYc	451
AluSq	AluYc3	440
AluSq	AluYd8	424
AluSq	AluYe5	467
AluSq	AluYe6	462
AluSq	AluYg6	476
AluSq	AluYh9	458
AluSq	AluYk11	453
AluSq	AluYk12	462
AluSq	AluYk4	476
AluSq	FAM	185
AluSq	FLAM_A	144
AluSq	FLAM_C	182
AluSq	FRAM	235
AluSq	SVA_A	254
AluSq	SVA_B	220
AluSq	SVA_C	200
AluSq	SVA_D	200
AluSq	SVA_E	191
AluSq	SVA_F	83.3
AluSx1	AluJb	491
AluSx1	AluJo	455
AluSx1	AluJr	451
AluSx1	AluJr4	447
AluSx1	AluSc	521
AluSx1	AluSc5	512
AluSx1	AluSc8	514
AluSx1	AluSg	547
AluSx1	AluSg4	538
AluSx1	AluSg7	526
AluSx1	AluSp	521
AluSx1	AluSq	548
AluSx1	AluSq10	517
AluSx1	AluSq2	548
AluSx1	AluSq4	527
AluSx1	AluSx	559
AluSx1	AluSx3	536
AluSx1	AluSx4	534
AluSx1	AluSz	554
AluSx1	AluSz6	532
AluSx1	AluY	509
AluSx1	AluYRa1	470
AluSx1	AluYRa2	479
AluSx1	AluYRa3	474
AluSx1	AluYRa4	466
AluSx1	AluYRb1	453
AluSx1	AluYRb2	431
AluSx1	AluYRb3	449
AluSx1	AluYRc0	497
AluSx1	AluYRc1	479
AluSx1	AluYRc2	474
AluSx1	AluYRd1	456
AluSx1	AluYRd2	461
AluSx1	AluYRd4	456
AluSx1	AluYa5	487
AluSx1	AluYa8	480
AluSx1	AluYb8	461
AluSx1	AluYb9	461
AluSx1	AluYc	466
AluSx1	AluYc3	455
AluSx1	AluYd8	439
AluSx1	AluYe5	478
AluSx1	AluYe6	473
AluSx1	AluYg6	482
AluSx1	AluYh9	473
AluSx1	AluYk11	460
AluSx1	AluYk12	473
AluSx1	AluYk4	487
AluSx1	FAM	191
AluSx1	FLAM_A	144
AluSx1	FLAM_C	182
AluSx1	FRAM	251
AluSx1	SVA_A	260
AluSx1	SVA_B	220
AluSx1	SVA_C	201
AluSx1	SVA_D	201
AluSx1	SVA_E	192
AluSx1	SVA_F	80.6
AluSx3	AluJb	487
AluSx3	AluJo	451
AluSx3	AluJr	446
AluSx3	AluJr4	443
AluSx3	AluSc	532
AluSx3	AluSc5	514
AluSx3	AluSc8	539
AluSx3	AluSg	549
AluSx3	AluSg4	531
AluSx3	AluSg7	518
AluSx3	AluSp	503
AluSx3	AluSq	521
AluSx3	AluSq10	489
AluSx3	AluSq2	521
AluSx3	AluSq4	520
AluSx3	AluSx	541
AluSx3	AluSx1	536
AluSx3	AluSx4	545
AluSx3	AluSz	541
AluSx3	AluSz6	518
AluSx3	AluY	526
AluSx3	AluYRa1	486
AluSx3	AluYRa2	490
AluSx3	AluYRa3	490
AluSx3	AluYRa4	487
AluSx3	AluYRb1	470
AluSx3	AluYRb2	447
AluSx3	AluYRb3	465
AluSx3	AluYRc0	513
AluSx3	AluYRc1	495
AluSx3	AluYRc2	490
AluSx3	AluYRd1	472
AluSx3	AluYRd2	477
AluSx3	AluYRd4	472
AluSx3	AluYa5	503
AluSx3	AluYa8	486
AluSx3	AluYb8	472
AluSx3	AluYb9	472
AluSx3	AluYc	482
AluSx3	AluYc3	471
AluSx3	AluYd8	455
AluSx3	AluYe5	494
AluSx3	AluYe6	489
AluSx3	AluYg6	508
AluSx3	AluYh9	485
AluSx3	AluYk11	476
AluSx3	AluYk12	480
AluSx3	AluYk4	503
AluSx3	FAM	200
AluSx3	FLAM_A	147
AluSx3	FLAM_C	177
AluSx3	FRAM	260
AluSx3	SVA_A	251
AluSx3	SVA_B	211
AluSx3	SVA_C	193
AluSx3	SVA_D	193
AluSx3	SVA_E	188
AluSx3	SVA_F	80.6
AluSx4	AluJb	484
AluSx4	AluJo	448
AluSx4	AluJr	444
AluSx4	AluJr4	440
AluSx4	AluSc	529
AluSx4	AluSc5	511
AluSx4	AluSc8	522
AluSx4	AluSg	546
AluSx4	AluSg4	533
AluSx4	AluSg7	525
AluSx4	AluSp	500
AluSx4	AluSq	518
AluSx4	AluSq10	487
AluSx4	AluSq2	518
AluSx4	AluSq4	517
AluSx4	AluSx	538
AluSx4	AluSx1	534
AluSx4	AluSx3	545
AluSx4	AluSz	538
AluSx4	AluSz6	516
AluSx4	AluY	508
AluSx4	AluYRa1	469
AluSx4	AluYRa2	478
AluSx4	AluYRa3	473
AluSx4	AluYRa4	470
AluSx4	AluYRb1	457
AluSx4	AluYRb2	434
AluSx4	AluYRb3	453
AluSx4	AluYRc0	496
AluSx4	AluYRc1	478
AluSx4	AluYRc2	473
AluSx4	AluYRd1	455
AluSx4	AluYRd2	460
AluSx4	AluYRd4	455
AluSx4	AluYa5	490
AluSx4	AluYa8	483
AluSx4	AluYb8	455
AluSx4	AluYb9	455
AluSx4	AluYc	470
AluSx4	AluYc3	459
AluSx4	AluYd8	443
