"","uniqueID","mark","family","family.count_200bp","subfamily","node","subfamily.count_200bp","intersect.count","intersect.count_200bp","subfamily.color","pvalue","mean.value","sd.value","log2FC","perC"
"67","E003-H2BK120ac LTR5_Hs LTR5_Hs_g10","E003-H2BK120ac","LTR5_Hs",604,"LTR5_Hs_g10","Node199/96",15,2,2,"#C6DDA4",0.08,0.29,0.537389875963326,1.21759143507263,0.133333333333333
"68","E003-H2BK120ac LTR5_Hs LTR5_Hs_g11","E003-H2BK120ac","LTR5_Hs",604,"LTR5_Hs_g11","Node122/99",10,3,3,"#DA605C",0,0.21,0.477683805651624,1.72499295250013,0.3
"69","E003-H2BK120ac LTR5_Hs LTR5_Hs_g12","E003-H2BK120ac","LTR5_Hs",604,"LTR5_Hs_g12","Node7/99",10,3,3,"#DCA4C6",0,0.14,0.42687494916219,1.81096617560998,0.3
"70","E003-H2BK120ac LTR5_Hs LTR5_Hs_g2","E003-H2BK120ac","LTR5_Hs",604,"LTR5_Hs_g2","Node14/100",60,2,2,"#6ADC97",0.98,1.74,1.33802205897475,0.130786607535354,0.0333333333333333
"71","E003-H2BK120ac LTR5_Hs LTR5_Hs_g3","E003-H2BK120ac","LTR5_Hs",604,"LTR5_Hs_g3","Node15/96",53,0,0,"#DB6BC6",2,1.71,1.13968806648525,-1.43829285157915,0
"72","E003-H2BK120ac LTR5_Hs LTR5_Hs_g4","E003-H2BK120ac","LTR5_Hs",604,"LTR5_Hs_g4","Node163/97",39,3,3,"#7FDED9",0.04,0.63,0.812217316792107,1.29512803554365,0.0769230769230769
"73","E003-H2BK120ac LTR5_Hs LTR5_Hs_g5","E003-H2BK120ac","LTR5_Hs",604,"LTR5_Hs_g5","Node173/96",36,1,1,"#88AACF",1.38,0.99,0.893240610294219,0.00723156923107573,0.0277777777777778
"74","E003-H2BK120ac LTR5_Hs LTR5_Hs_g6","E003-H2BK120ac","LTR5_Hs",604,"LTR5_Hs_g6","Node174/98",29,0,0,"#B745E2",2,0.73,0.763498063474488,-0.790772037862,0
"75","E003-H2BK120ac LTR5_Hs LTR5_Hs_g7","E003-H2BK120ac","LTR5_Hs",604,"LTR5_Hs_g7","Node10/99",26,1,1,"#7BE94E",0.88,0.57,0.755518418576331,0.349235440883098,0.0384615384615385
"76","E003-H2BK120ac LTR5_Hs LTR5_Hs_g8","E003-H2BK120ac","LTR5_Hs",604,"LTR5_Hs_g8","Node5/99",24,6,6,"#D6D4CD",0,0.46,0.744271048704296,2.26138655295231,0.25
"77","E003-H2BK120ac LTR5_Hs LTR5_Hs_g9","E003-H2BK120ac","LTR5_Hs",604,"LTR5_Hs_g9","Node12/96",23,0,0,"#D4DF64",2,0.41,0.637149586800145,-0.495695162624069,0
"78","E003-H2BK120ac LTR5_Hs LTR5_Hs_U","E003-H2BK120ac","LTR5_Hs",604,"LTR5_Hs_U","Ungrouped",21,5,5,"black",0,0.52,0.68872595010166,1.9808911770523,0.238095238095238
"79","E003-H2BK120ac LTR5A LTR5A_g1","E003-H2BK120ac","LTR5A",253,"LTR5A_g1","Node1/",148,0,0,"#D1CECB",2,3.28,1.7757058633488,-2.09761079662642,0
"80","E003-H2BK120ac LTR5A LTR5A_g2","E003-H2BK120ac","LTR5A",253,"LTR5A_g2","Node34/99",35,0,0,"#DC7E79",2,1.07,0.934793230526614,-1.0496307677246,0
"81","E003-H2BK120ac LTR5A LTR5A_g3","E003-H2BK120ac","LTR5A",253,"LTR5A_g3","Node9/100",20,0,0,"#84DCCB",2,0.69,0.837203135988567,-0.75702324650746,0
"82","E003-H2BK120ac LTR5A LTR5A_g4","E003-H2BK120ac","LTR5A",253,"LTR5A_g4","Node48/99",14,0,0,"#D5D077",2,0.31,0.59789191955967,-0.389566811762726,0
"83","E003-H2BK120ac LTR5A LTR5A_g5","E003-H2BK120ac","LTR5A",253,"LTR5A_g5","Node3/97",13,0,0,"#A79BD5",2,0.45,0.625630994607957,-0.53605290024021,0
"84","E003-H2BK120ac LTR5A LTR5A_g6","E003-H2BK120ac","LTR5A",253,"LTR5A_g6","Node61/100",10,0,0,"#BE5AD6",2,0.28,0.451260859854213,-0.356143810225275,0
"85","E003-H2BK120ac LTR5A LTR5A_U","E003-H2BK120ac","LTR5A",253,"LTR5A_U","Ungrouped",13,0,0,"black",2,0.46,0.68784541368778,-0.545968369105293,0
"86","E003-H2BK120ac LTR5B LTR5B_g1","E003-H2BK120ac","LTR5B",375,"LTR5B_g1","Node1/",68,0,0,"#D87DC9",2,1.58,1.29630399228115,-1.36737106564853,0
"87","E003-H2BK120ac LTR5B LTR5B_g10","E003-H2BK120ac","LTR5B",375,"LTR5B_g10","Node89/100",15,1,1,"#8494D8",0.84,0.48,0.611010092660779,0.434402824145775,0.0666666666666667
"88","E003-H2BK120ac LTR5B LTR5B_g2","E003-H2BK120ac","LTR5B",375,"LTR5B_g2","Node54/100",55,2,2,"#D5A162",0.84,1.46,1.22614613461624,0.286304185156641,0.0363636363636364
"89","E003-H2BK120ac LTR5B LTR5B_g3","E003-H2BK120ac","LTR5B",375,"LTR5B_g3","Node11/96",42,0,0,"#81E557",2,0.97,0.88140154689488,-0.978195629681652,0
"90","E003-H2BK120ac LTR5B LTR5B_g4","E003-H2BK120ac","LTR5B",375,"LTR5B_g4","Node97/99",31,1,1,"#CEDCB2",1.48,1.13,0.928287224794768,-0.0908534304511135,0.032258064516129
"91","E003-H2BK120ac LTR5B LTR5B_g5","E003-H2BK120ac","LTR5B",375,"LTR5B_g5","Node63/97",30,0,0,"#D8DF6A",2,0.46,0.73057331852277,-0.545968369105293,0
"92","E003-H2BK120ac LTR5B LTR5B_g6","E003-H2BK120ac","LTR5B",375,"LTR5B_g6","Node98/98",30,0,0,"#D4BCCD",2,0.72,0.829749871036355,-0.782408564927373,0
"93","E003-H2BK120ac LTR5B LTR5B_g7","E003-H2BK120ac","LTR5B",375,"LTR5B_g7","Node111/99",21,0,0,"#DC6B6D",2,0.57,0.742028342185162,-0.650764559116902,0
"94","E003-H2BK120ac LTR5B LTR5B_g8","E003-H2BK120ac","LTR5B",375,"LTR5B_g8","Node57/100",21,0,0,"#74E0A9",2,0.46,0.673000217629454,-0.545968369105293,0
"95","E003-H2BK120ac LTR5B LTR5B_g9","E003-H2BK120ac","LTR5B",375,"LTR5B_g9","Node50/98",20,1,1,"#B150DC",0.96,0.6,0.724743075339478,0.321928094887362,0.05
"96","E003-H2BK120ac LTR5B LTR5B_U","E003-H2BK120ac","LTR5B",375,"LTR5B_U","Ungrouped",42,2,2,"black",0.4,0.85,0.903137069140983,0.697437229979569,0.0476190476190476
"97","E003-H2BK12ac LTR5 LTR5_g0","E003-H2BK12ac","LTR5",5,"LTR5_g0","-",5,0,0,"-",2,0.34,0.572430578914831,-0.422233000683048,0
"98","E003-H2BK12ac LTR5_Hs LTR5_Hs_g1","E003-H2BK12ac","LTR5_Hs",604,"LTR5_Hs_g1","Node16/100",258,4,4,"#D5A263",2,18.8,4.54383809641856,-1.98550043030488,0.0155038759689922
"99","E003-H2BK12ac LTR5_Hs LTR5_Hs_g10","E003-H2BK12ac","LTR5_Hs",604,"LTR5_Hs_g10","Node199/96",15,5,5,"#C6DDA4",0,0.75,0.808727645156516,1.77760757866355,0.333333333333333
"100","E003-H2BK12ac LTR5_Hs LTR5_Hs_g11","E003-H2BK12ac","LTR5_Hs",604,"LTR5_Hs_g11","Node122/99",10,4,4,"#DA605C",0,0.45,0.609271795844943,1.78587519464715,0.4
"101","E003-H2BK12ac LTR5_Hs LTR5_Hs_g12","E003-H2BK12ac","LTR5_Hs",604,"LTR5_Hs_g12","Node7/99",10,4,4,"#DCA4C6",0,0.53,0.77139516789419,1.70839644196944,0.4
"102","E003-H2BK12ac LTR5_Hs LTR5_Hs_g2","E003-H2BK12ac","LTR5_Hs",604,"LTR5_Hs_g2","Node14/100",60,5,5,"#6ADC97",0.78,4.2,1.74077655955698,0.206450877467426,0.0833333333333333
"103","E003-H2BK12ac LTR5_Hs LTR5_Hs_g3","E003-H2BK12ac","LTR5_Hs",604,"LTR5_Hs_g3","Node15/96",53,1,1,"#DB6BC6",1.96,3.85,2.05664726674216,-1.27798474729977,0.0188679245283019
"104","E003-H2BK12ac LTR5_Hs LTR5_Hs_g4","E003-H2BK12ac","LTR5_Hs",604,"LTR5_Hs_g4","Node163/97",39,8,8,"#7FDED9",0,2.18,1.358698129115,1.50089823593268,0.205128205128205
"105","E003-H2BK12ac LTR5_Hs LTR5_Hs_g5","E003-H2BK12ac","LTR5_Hs",604,"LTR5_Hs_g5","Node173/96",36,1,1,"#88AACF",1.88,2.55,1.47966007562343,-0.82781902461732,0.0277777777777778
"106","E003-H2BK12ac LTR5_Hs LTR5_Hs_g6","E003-H2BK12ac","LTR5_Hs",604,"LTR5_Hs_g6","Node174/98",29,0,0,"#B745E2",2,1.83,1.27963852219084,-1.50080205305716,0
"107","E003-H2BK12ac LTR5_Hs LTR5_Hs_g7","E003-H2BK12ac","LTR5_Hs",604,"LTR5_Hs_g7","Node10/99",26,3,3,"#7BE94E",0.58,1.82,1.24218770845243,0.504304837375931,0.115384615384615
"108","E003-H2BK12ac LTR5_Hs LTR5_Hs_g8","E003-H2BK12ac","LTR5_Hs",604,"LTR5_Hs_g8","Node5/99",24,9,9,"#D6D4CD",0,1.15,0.880484256107129,2.21759143507263,0.375
"109","E003-H2BK12ac LTR5_Hs LTR5_Hs_g9","E003-H2BK12ac","LTR5_Hs",604,"LTR5_Hs_g9","Node12/96",23,4,4,"#D4DF64",0.14,1.55,1.32859004781442,0.971430847803229,0.173913043478261
"110","E003-H2BK12ac LTR5_Hs LTR5_Hs_U","E003-H2BK12ac","LTR5_Hs",604,"LTR5_Hs_U","Ungrouped",21,7,7,"black",0,1.1,1.02985730108887,1.9296106721086,0.333333333333333
"111","E003-H2BK12ac LTR5A LTR5A_g1","E003-H2BK12ac","LTR5A",253,"LTR5A_g1","Node1/",148,1,1,"#D1CECB",2,9.16,2.52150347966839,-2.34482849699744,0.00675675675675676
"112","E003-H2BK12ac LTR5A LTR5A_g2","E003-H2BK12ac","LTR5A",253,"LTR5A_g2","Node34/99",35,1,1,"#DC7E79",1.86,2.84,1.64973214844597,-0.941106310946431,0.0285714285714286
"113","E003-H2BK12ac LTR5A LTR5A_g3","E003-H2BK12ac","LTR5A",253,"LTR5A_g3","Node9/100",20,0,0,"#84DCCB",2,2.42,1.51877143331927,-1.77399632511117,0
"114","E003-H2BK12ac LTR5A LTR5A_g4","E003-H2BK12ac","LTR5A",253,"LTR5A_g4","Node48/99",14,0,0,"#D5D077",2,0.59,0.739847104051735,-0.66902676550963,0
"115","E003-H2BK12ac LTR5A LTR5A_g5","E003-H2BK12ac","LTR5A",253,"LTR5A_g5","Node3/97",13,0,0,"#A79BD5",2,1.13,0.939105527573548,-1.09085343045111,0
"116","E003-H2BK12ac LTR5A LTR5A_g6","E003-H2BK12ac","LTR5A",253,"LTR5A_g6","Node61/100",10,0,0,"#BE5AD6",2,0.65,0.770346898114313,-0.722466024471091,0
"117","E003-H2BK12ac LTR5A LTR5A_U","E003-H2BK12ac","LTR5A",253,"LTR5A_U","Ungrouped",13,0,0,"black",2,1.03,1.05844368310413,-1.02147972741045,0
"118","E003-H2BK12ac LTR5B LTR5B_g1","E003-H2BK12ac","LTR5B",375,"LTR5B_g1","Node1/",68,3,3,"#D87DC9",1.66,4.27,1.72243074658103,-0.39780296186249,0.0441176470588235
"119","E003-H2BK12ac LTR5B LTR5B_g10","E003-H2BK12ac","LTR5B",375,"LTR5B_g10","Node89/100",15,2,2,"#8494D8",0.62,1.12,0.924197713772012,0.500898235932682,0.133333333333333
"120","E003-H2BK12ac LTR5B LTR5B_g2","E003-H2BK12ac","LTR5B",375,"LTR5B_g2","Node54/100",55,2,2,"#D5A162",1.8,3.55,1.68400076777256,-0.600904044590178,0.0363636363636364
"121","E003-H2BK12ac LTR5B LTR5B_g3","E003-H2BK12ac","LTR5B",375,"LTR5B_g3","Node11/96",42,1,1,"#81E557",1.92,2.42,1.29630399228115,-0.773996325111173,0.0238095238095238
"122","E003-H2BK12ac LTR5B LTR5B_g4","E003-H2BK12ac","LTR5B",375,"LTR5B_g4","Node97/99",31,3,3,"#CEDCB2",1.18,3.09,1.53803626600791,-0.032100843167024,0.0967741935483871
"123","E003-H2BK12ac LTR5B LTR5B_g5","E003-H2BK12ac","LTR5B",375,"LTR5B_g5","Node63/97",30,1,1,"#D8DF6A",1.64,1.49,1.03957061843199,-0.316145742293356,0.0333333333333333
"124","E003-H2BK12ac LTR5B LTR5B_g6","E003-H2BK12ac","LTR5B",375,"LTR5B_g6","Node98/98",30,0,0,"#D4BCCD",2,2.22,1.53465029083225,-1.68706068833989,0
"125","E003-H2BK12ac LTR5B LTR5B_g7","E003-H2BK12ac","LTR5B",375,"LTR5B_g7","Node111/99",21,1,1,"#DC6B6D",1.56,1.47,1.2098501451574,-0.304511041809953,0.0476190476190476
"126","E003-H2BK12ac LTR5B LTR5B_g8","E003-H2BK12ac","LTR5B",375,"LTR5B_g8","Node57/100",21,0,0,"#74E0A9",2,1.51,1.19337396240299,-1.32768736417605,0
"127","E003-H2BK12ac LTR5B LTR5B_g9","E003-H2BK12ac","LTR5B",375,"LTR5B_g9","Node50/98",20,3,3,"#B150DC",0.34,1.42,1.05581602315341,0.72499295250013,0.15
"128","E003-H2BK12ac LTR5B LTR5B_U","E003-H2BK12ac","LTR5B",375,"LTR5B_U","Ungrouped",42,2,2,"black",1.6,2.89,1.63851990367755,-0.374807654490311,0.0476190476190476
"129","E003-H2BK20ac LTR5 LTR5_g0","E003-H2BK20ac","LTR5",5,"LTR5_g0","-",5,0,0,"-",2,0.16,0.394917201397453,-0.214124805352847,0
