File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF565JUO	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR651SVZ	Histone ChIP-seq	/human-donors/ENCDO000AAW/	CL:0000047	neuronal stem cell	in vitro differentiated cells	Homo sapiens										H2BK5ac-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF804IMD/, /files/ENCFF356LFX/, /files/ENCFF418NKT/	959720	ENCODE Processing Pipeline	75451ddec219ca6e08d82d5072743308		https://www.encodeproject.org/files/ENCFF565JUO/@@download/ENCFF565JUO.bed.gz				released	s3://encode-public/2020/11/13/b87c4eb8-900c-4d04-989c-743b9d89cc1e/ENCFF565JUO.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/13/b87c4eb8-900c-4d04-989c-743b9d89cc1e/ENCFF565JUO.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, inconsistent platforms, moderate library complexity, low read length		
ENCFF996YGT	bigWig	bigWig		signal p-value	GRCh38	ENCSR651SVZ	Histone ChIP-seq	/human-donors/ENCDO000AAW/	CL:0000047	neuronal stem cell	in vitro differentiated cells	Homo sapiens										H2BK5ac-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF804IMD/, /files/ENCFF418NKT/	735673984	ENCODE Processing Pipeline	5536d293d6f1a6458944c585a1ef7d6f		https://www.encodeproject.org/files/ENCFF996YGT/@@download/ENCFF996YGT.bigWig				released	s3://encode-public/2020/11/13/f0ba977e-bf69-43d1-856e-15542a9a3446/ENCFF996YGT.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/11/13/f0ba977e-bf69-43d1-856e-15542a9a3446/ENCFF996YGT.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, inconsistent platforms, moderate library complexity, low read length		
ENCFF916QOI	bigWig	bigWig		signal p-value	GRCh38	ENCSR687EBF	Histone ChIP-seq	/human-donors/ENCDO000AAW/	CL:0000047	neuronal stem cell	in vitro differentiated cells	Homo sapiens										H3K14ac-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF407RHN/, /files/ENCFF804IMD/	691645603	ENCODE Processing Pipeline	975e1761dd61a89af076c8b6c9929c91		https://www.encodeproject.org/files/ENCFF916QOI/@@download/ENCFF916QOI.bigWig				released	s3://encode-public/2020/11/13/8fa4323d-25c5-4e1e-b54b-ab70e48a3843/ENCFF916QOI.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/11/13/8fa4323d-25c5-4e1e-b54b-ab70e48a3843/ENCFF916QOI.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	inconsistent platforms, low read length		
ENCFF408HPU	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR687EBF	Histone ChIP-seq	/human-donors/ENCDO000AAW/	CL:0000047	neuronal stem cell	in vitro differentiated cells	Homo sapiens										H3K14ac-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF407RHN/, /files/ENCFF356LFX/, /files/ENCFF804IMD/	1451454	ENCODE Processing Pipeline	3cebe22861a2c0043e141d81bf17645c		https://www.encodeproject.org/files/ENCFF408HPU/@@download/ENCFF408HPU.bed.gz				released	s3://encode-public/2020/11/13/31fb5425-63ef-4a75-8d62-dd9c1fe9e10d/ENCFF408HPU.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/13/31fb5425-63ef-4a75-8d62-dd9c1fe9e10d/ENCFF408HPU.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	inconsistent platforms, low read length		
ENCFF636EGI	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR687EBF	Histone ChIP-seq	/human-donors/ENCDO000AAW/	CL:0000047	neuronal stem cell	in vitro differentiated cells	Homo sapiens										H3K14ac-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF408HPU/	3236129	ENCODE Processing Pipeline	90144a32168843070c62093a66053166		https://www.encodeproject.org/files/ENCFF636EGI/@@download/ENCFF636EGI.bigBed				released	s3://encode-public/2020/11/13/e83955a1-21cf-4a99-a3eb-a63c7bf06e31/ENCFF636EGI.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/11/13/e83955a1-21cf-4a99-a3eb-a63c7bf06e31/ENCFF636EGI.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	inconsistent platforms, low read length		
ENCFF362MEV	bigWig	bigWig		signal p-value	GRCh38	ENCSR799SRL	Histone ChIP-seq	/human-donors/ENCDO000AAW/	CL:0000047	neuronal stem cell	in vitro differentiated cells	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1, 2, 3	1_1, 2_1, 3_1							/files/ENCFF477FHN/, /files/ENCFF965XZF/, /files/ENCFF805URT/, /files/ENCFF120AVO/, /files/ENCFF804IMD/	1929117635	ENCODE Processing Pipeline	3d68a08a0f60f786293916eb895fa239		https://www.encodeproject.org/files/ENCFF362MEV/@@download/ENCFF362MEV.bigWig				released	s3://encode-public/2020/10/20/01dc0df8-ec1f-46c6-b8c3-793672c0a67f/ENCFF362MEV.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/10/20/01dc0df8-ec1f-46c6-b8c3-793672c0a67f/ENCFF362MEV.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	inconsistent platforms, low read length		
ENCFF285PPN	bed narrowPeak	bed	narrowPeak	replicated peaks	GRCh38	ENCSR799SRL	Histone ChIP-seq	/human-donors/ENCDO000AAW/	CL:0000047	neuronal stem cell	in vitro differentiated cells	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1, 2, 3	1_1, 2_1, 3_1							/files/ENCFF477FHN/, /files/ENCFF356LFX/, /files/ENCFF965XZF/, /files/ENCFF805URT/, /files/ENCFF120AVO/, /files/ENCFF804IMD/	1173513	ENCODE Processing Pipeline	cd9f294d928ef0d8efebe95c43589ef1		https://www.encodeproject.org/files/ENCFF285PPN/@@download/ENCFF285PPN.bed.gz				released	s3://encode-public/2020/10/20/1cc427a0-8d03-4375-8331-4899f9bac651/ENCFF285PPN.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/20/1cc427a0-8d03-4375-8331-4899f9bac651/ENCFF285PPN.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	inconsistent platforms, low read length		
ENCFF989CMY	bigBed narrowPeak	bigBed	narrowPeak	replicated peaks	GRCh38	ENCSR799SRL	Histone ChIP-seq	/human-donors/ENCDO000AAW/	CL:0000047	neuronal stem cell	in vitro differentiated cells	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1, 2, 3	1_1, 2_1, 3_1							/files/ENCFF285PPN/	2743559	ENCODE Processing Pipeline	9e6a17c73b926e224775a90866b5c237		https://www.encodeproject.org/files/ENCFF989CMY/@@download/ENCFF989CMY.bigBed				released	s3://encode-public/2020/10/20/72648cc7-e113-47b6-8378-bcccacd0197e/ENCFF989CMY.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/10/20/72648cc7-e113-47b6-8378-bcccacd0197e/ENCFF989CMY.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	inconsistent platforms, low read length		
ENCFF746XZV	bigWig	bigWig		signal p-value	GRCh38	ENCSR692CTK	Histone ChIP-seq	/human-donors/ENCDO000AAW/	CL:0000047	neuronal stem cell	in vitro differentiated cells	Homo sapiens										H3K27me3-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_1							/files/ENCFF418RUM/, /files/ENCFF804IMD/, /files/ENCFF972LPQ/	829449752	ENCODE Processing Pipeline	c5d0be8f8de9b7b54879d375888c75a1		https://www.encodeproject.org/files/ENCFF746XZV/@@download/ENCFF746XZV.bigWig				released	s3://encode-public/2020/11/13/84aaab0a-2d7e-469e-9d42-6054d8537ba5/ENCFF746XZV.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/11/13/84aaab0a-2d7e-469e-9d42-6054d8537ba5/ENCFF746XZV.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, low read depth	control insufficient read depth, insufficient read depth	
ENCFF153BQX	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR692CTK	Histone ChIP-seq	/human-donors/ENCDO000AAW/	CL:0000047	neuronal stem cell	in vitro differentiated cells	Homo sapiens										H3K27me3-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_1							/files/ENCFF418RUM/, /files/ENCFF804IMD/, /files/ENCFF356LFX/, /files/ENCFF972LPQ/	210355	ENCODE Processing Pipeline	72bb6c84974f1f078f6e0dd96680f106		https://www.encodeproject.org/files/ENCFF153BQX/@@download/ENCFF153BQX.bed.gz				released	s3://encode-public/2020/11/13/b79b21c8-b9f1-4278-8e8a-39b4ce26c84d/ENCFF153BQX.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/13/b79b21c8-b9f1-4278-8e8a-39b4ce26c84d/ENCFF153BQX.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, low read depth	control insufficient read depth, insufficient read depth	
ENCFF610YTB	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR692CTK	Histone ChIP-seq	/human-donors/ENCDO000AAW/	CL:0000047	neuronal stem cell	in vitro differentiated cells	Homo sapiens										H3K27me3-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_1							/files/ENCFF153BQX/	591772	ENCODE Processing Pipeline	ecd9325bec64cb901a63e5c55fba6ce1		https://www.encodeproject.org/files/ENCFF610YTB/@@download/ENCFF610YTB.bigBed				released	s3://encode-public/2020/11/13/2255c974-57b7-4b40-85f9-4d7b63b591b1/ENCFF610YTB.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/11/13/2255c974-57b7-4b40-85f9-4d7b63b591b1/ENCFF610YTB.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, low read depth	control insufficient read depth, insufficient read depth	
ENCFF499OQE	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR486GWT	Histone ChIP-seq	/human-donors/ENCDO000AAW/	CL:0000047	neuronal stem cell	in vitro differentiated cells	Homo sapiens										H3K4me2-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF575YMO/, /files/ENCFF356LFX/, /files/ENCFF804IMD/	1102854	ENCODE Processing Pipeline	9473e2ff532ae624d4ce9fcfb391add2		https://www.encodeproject.org/files/ENCFF499OQE/@@download/ENCFF499OQE.bed.gz				released	s3://encode-public/2020/11/13/8ddecbcb-1794-4794-8073-56a97948e65b/ENCFF499OQE.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/13/8ddecbcb-1794-4794-8073-56a97948e65b/ENCFF499OQE.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, inconsistent platforms, low read length	insufficient read depth, poor library complexity, severe bottlenecking	
ENCFF084LJK	bigWig	bigWig		signal p-value	GRCh38	ENCSR486GWT	Histone ChIP-seq	/human-donors/ENCDO000AAW/	CL:0000047	neuronal stem cell	in vitro differentiated cells	Homo sapiens										H3K4me2-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF575YMO/, /files/ENCFF804IMD/	467827953	ENCODE Processing Pipeline	24f7cd4453d9c4dba3e1f39523f82ab8		https://www.encodeproject.org/files/ENCFF084LJK/@@download/ENCFF084LJK.bigWig				released	s3://encode-public/2020/11/13/b4deb578-a32e-4255-8dd1-d5a02a3e4fb0/ENCFF084LJK.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/11/13/b4deb578-a32e-4255-8dd1-d5a02a3e4fb0/ENCFF084LJK.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, inconsistent platforms, low read length	insufficient read depth, poor library complexity, severe bottlenecking	
ENCFF621JGX	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR486GWT	Histone ChIP-seq	/human-donors/ENCDO000AAW/	CL:0000047	neuronal stem cell	in vitro differentiated cells	Homo sapiens										H3K4me2-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF499OQE/	2683938	ENCODE Processing Pipeline	4de6832738fcea7815cb3830e4b0199b		https://www.encodeproject.org/files/ENCFF621JGX/@@download/ENCFF621JGX.bigBed				released	s3://encode-public/2020/11/13/0892cd8d-baf9-42c7-b71a-4773706d82b8/ENCFF621JGX.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/11/13/0892cd8d-baf9-42c7-b71a-4773706d82b8/ENCFF621JGX.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, inconsistent platforms, low read length	insufficient read depth, poor library complexity, severe bottlenecking	
ENCFF832VED	bigWig	bigWig		signal p-value	GRCh38	ENCSR732NFR	Histone ChIP-seq	/human-donors/ENCDO000AAW/	CL:0000047	neuronal stem cell	in vitro differentiated cells	Homo sapiens										H2AK5ac-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_2							/files/ENCFF094UHO/, /files/ENCFF804IMD/, /files/ENCFF041QMK/	1195755955	ENCODE Processing Pipeline	ceb6a068148cb564e431f415b9129be0		https://www.encodeproject.org/files/ENCFF832VED/@@download/ENCFF832VED.bigWig				released	s3://encode-public/2020/11/12/f6799328-7523-4329-90f9-baceb3380e01/ENCFF832VED.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/11/12/f6799328-7523-4329-90f9-baceb3380e01/ENCFF832VED.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read length, low read depth, inconsistent platforms, mixed read lengths		
