File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF352KLD	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BQU	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										ATF2-human	DNA						2012-02-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF618AQB/, /files/ENCFF356LFX/, /files/ENCFF855LUO/, /files/ENCFF043SXN/, /files/ENCFF770XTV/	152345	ENCODE Processing Pipeline	f2d8da4f96ee322d13e45f9719c226d2		https://www.encodeproject.org/files/ENCFF352KLD/@@download/ENCFF352KLD.bed.gz				released	s3://encode-public/2021/01/02/3373e1fe-1eab-491e-9a17-81fde99853ef/ENCFF352KLD.bed.gz	ENCODE4 v1.6.1 GRCh38	released	inconsistent platforms, low read length		
ENCFF859IIO	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000ECB	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										TBP-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF817TGF/	864175	ENCODE Processing Pipeline	7fb337875cd5552ee882c87f734eecd6		https://www.encodeproject.org/files/ENCFF859IIO/@@download/ENCFF859IIO.bigBed				released	s3://encode-public/2020/12/26/a4a962ad-54af-405b-966d-48562811ba2f/ENCFF859IIO.bigBed	ENCODE4 v1.6.1 GRCh38	released	low read depth, low read length, improper control_type of control experiment		
ENCFF817TGF	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000ECB	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										TBP-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF862IJP/, /files/ENCFF356LFX/, /files/ENCFF666XTT/, /files/ENCFF972YCC/	391698	ENCODE Processing Pipeline	28cca779a487d94fa82022be5faf13e2		https://www.encodeproject.org/files/ENCFF817TGF/@@download/ENCFF817TGF.bed.gz				released	s3://encode-public/2020/12/26/02b2f47d-7eaa-4c59-9d81-747b3a05196d/ENCFF817TGF.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read depth, low read length, improper control_type of control experiment		
ENCFF959FCK	bigWig	bigWig		signal p-value	GRCh38	ENCSR000ECB	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										TBP-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF862IJP/, /files/ENCFF972YCC/, /files/ENCFF666XTT/	669096134	ENCODE Processing Pipeline	4fb9722364e3d5ab2ba291ac7bab7281		https://www.encodeproject.org/files/ENCFF959FCK/@@download/ENCFF959FCK.bigWig				released	s3://encode-public/2020/12/26/aa04665d-b875-424d-a3b3-429c0f379163/ENCFF959FCK.bigWig	ENCODE4 v1.6.1 GRCh38	released	low read depth, low read length, improper control_type of control experiment		
ENCFF100KKH	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BJA	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										EGR1-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF595PNZ/, /files/ENCFF356LFX/, /files/ENCFF950CIA/, /files/ENCFF024TLY/	200784	ENCODE Processing Pipeline	229cf679dca12d41238c34fec3fa7bfa		https://www.encodeproject.org/files/ENCFF100KKH/@@download/ENCFF100KKH.bed.gz				released	s3://encode-public/2021/01/02/ac80e369-b01b-418b-978f-6381f9febd8d/ENCFF100KKH.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read depth, low read length, borderline replicate concordance		
ENCFF032XWZ	bigWig	bigWig		signal p-value	GRCh38	ENCSR000BJA	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										EGR1-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF595PNZ/, /files/ENCFF950CIA/, /files/ENCFF024TLY/	782497557	ENCODE Processing Pipeline	6af47b2eeb66ea8012d067902103ab77		https://www.encodeproject.org/files/ENCFF032XWZ/@@download/ENCFF032XWZ.bigWig				released	s3://encode-public/2021/01/02/4b5c2fe7-7011-44c4-bb25-c5143d746fe3/ENCFF032XWZ.bigWig	ENCODE4 v1.6.1 GRCh38	released	low read depth, low read length, borderline replicate concordance		
ENCFF451BLH	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BJA	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										EGR1-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF100KKH/	421768	ENCODE Processing Pipeline	6bdd8bf0f511022bc69a4ba7a9172461		https://www.encodeproject.org/files/ENCFF451BLH/@@download/ENCFF451BLH.bigBed				released	s3://encode-public/2021/01/02/10b0a714-fe34-4a9e-bb55-1ff5f4ae276a/ENCFF451BLH.bigBed	ENCODE4 v1.6.1 GRCh38	released	low read depth, low read length, borderline replicate concordance		
ENCFF140HPM	bigWig	bigWig		signal p-value	GRCh38	ENCSR000BHM	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										REST-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF810HCK/, /files/ENCFF770DLI/, /files/ENCFF595PNZ/	448008134	ENCODE Processing Pipeline	c0cab8c672f497ff9a3f0c13a80e5593		https://www.encodeproject.org/files/ENCFF140HPM/@@download/ENCFF140HPM.bigWig				released	s3://encode-public/2020/12/11/6d7c149f-41a2-4a0d-a899-8782678e2052/ENCFF140HPM.bigWig	ENCODE4 v1.6.1 GRCh38	released	low read depth, moderate library complexity, low read length		
ENCFF738LQB	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BHM	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										REST-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF810HCK/, /files/ENCFF356LFX/, /files/ENCFF770DLI/, /files/ENCFF595PNZ/	240141	ENCODE Processing Pipeline	7659937d11724a7d347130b5a0c356d2		https://www.encodeproject.org/files/ENCFF738LQB/@@download/ENCFF738LQB.bed.gz				released	s3://encode-public/2020/12/11/a4648dff-af42-4692-88bf-252ddd758979/ENCFF738LQB.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read depth, moderate library complexity, low read length		
ENCFF429RUE	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BHM	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										REST-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF738LQB/	442037	ENCODE Processing Pipeline	2ee0b81c3cf9a73a872f26553e1b05f4		https://www.encodeproject.org/files/ENCFF429RUE/@@download/ENCFF429RUE.bigBed				released	s3://encode-public/2020/12/11/19aa5916-c902-440f-b428-d6ce1f035199/ENCFF429RUE.bigBed	ENCODE4 v1.6.1 GRCh38	released	low read depth, moderate library complexity, low read length		
ENCFF621PNP	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000ECA	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										JUN-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF821GUI/	119774	ENCODE Processing Pipeline	3807b66e19ed93d20f4f1d8af43293ab		https://www.encodeproject.org/files/ENCFF621PNP/@@download/ENCFF621PNP.bigBed				released	s3://encode-public/2020/12/10/00ff6f16-7e8e-495d-be46-c100add80a53/ENCFF621PNP.bigBed	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, low read depth, low read length, improper control_type of control experiment		
ENCFF826HEW	bigWig	bigWig		signal p-value	GRCh38	ENCSR000ECA	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										JUN-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF102CGF/, /files/ENCFF815LHP/, /files/ENCFF972YCC/	806907668	ENCODE Processing Pipeline	2649e7ebe2088c28bc4a9f41fe4b4557		https://www.encodeproject.org/files/ENCFF826HEW/@@download/ENCFF826HEW.bigWig				released	s3://encode-public/2020/12/10/10eecf66-3af7-4f4d-872a-2f4fdebaad10/ENCFF826HEW.bigWig	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, low read depth, low read length, improper control_type of control experiment		
ENCFF821GUI	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000ECA	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										JUN-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF102CGF/, /files/ENCFF815LHP/, /files/ENCFF972YCC/	51634	ENCODE Processing Pipeline	87c44e535cd63d9148fd57c810268567		https://www.encodeproject.org/files/ENCFF821GUI/@@download/ENCFF821GUI.bed.gz				released	s3://encode-public/2020/12/10/35e87bf0-0a02-4b30-93b1-a211e0bbbd70/ENCFF821GUI.bed.gz	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, low read depth, low read length, improper control_type of control experiment		
ENCFF207RBY	bigWig	bigWig		signal p-value	GRCh38	ENCSR000EBP	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										GTF2F1-human	DNA						2012-05-14	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF588FMG/, /files/ENCFF972YCC/, /files/ENCFF559AEB/	809079845	ENCODE Processing Pipeline	ad01466d3bf3b63397f3ce1544f126c2		https://www.encodeproject.org/files/ENCFF207RBY/@@download/ENCFF207RBY.bigWig				released	s3://encode-public/2020/12/10/9350b104-7d00-4dfc-abfe-33c7ae160abb/ENCFF207RBY.bigWig	ENCODE4 v1.6.1 GRCh38	released	low read depth, borderline replicate concordance, low read length, improper control_type of control experiment		
ENCFF138MYA	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EBP	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										GTF2F1-human	DNA						2012-05-14	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF588FMG/, /files/ENCFF972YCC/, /files/ENCFF356LFX/, /files/ENCFF559AEB/	73621	ENCODE Processing Pipeline	f1ebdce5df107000e0153faf65aa67c6		https://www.encodeproject.org/files/ENCFF138MYA/@@download/ENCFF138MYA.bed.gz				released	s3://encode-public/2020/12/10/88d21e78-3ba0-47c9-b155-6a90e16207ab/ENCFF138MYA.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read depth, borderline replicate concordance, low read length, improper control_type of control experiment		
ENCFF399TGL	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EBP	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										GTF2F1-human	DNA						2012-05-14	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF138MYA/	167947	ENCODE Processing Pipeline	0236bb6b27c7040efe948300c4ca8b12		https://www.encodeproject.org/files/ENCFF399TGL/@@download/ENCFF399TGL.bigBed				released	s3://encode-public/2020/12/10/6a61a9ba-0939-4979-abe8-8fa3541d3571/ENCFF399TGL.bigBed	ENCODE4 v1.6.1 GRCh38	released	low read depth, borderline replicate concordance, low read length, improper control_type of control experiment		
ENCFF055ZII	bigWig	bigWig		signal p-value	GRCh38	ENCSR000BRY	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										TEAD4-human	DNA						2012-09-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF345FFX/, /files/ENCFF618AQB/, /files/ENCFF855LUO/, /files/ENCFF886PFV/	969344990	ENCODE Processing Pipeline	721ecb8d7d5b8b07767114cae4e56e2f		https://www.encodeproject.org/files/ENCFF055ZII/@@download/ENCFF055ZII.bigWig				released	s3://encode-public/2020/12/26/af4f53fd-da32-4b7d-b327-c8604941f399/ENCFF055ZII.bigWig	ENCODE4 v1.6.1 GRCh38	released	mixed read lengths, low read depth, inconsistent platforms, low read length		
ENCFF778PAX	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BRY	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										TEAD4-human	DNA						2012-09-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF885PQR/	617214	ENCODE Processing Pipeline	62dbf96528fc9d9ee26d8ea02f0c7110		https://www.encodeproject.org/files/ENCFF778PAX/@@download/ENCFF778PAX.bigBed				released	s3://encode-public/2020/12/26/eb8b0903-5093-4149-8d3c-6cfa930c26aa/ENCFF778PAX.bigBed	ENCODE4 v1.6.1 GRCh38	released	mixed read lengths, low read depth, inconsistent platforms, low read length		
ENCFF885PQR	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BRY	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										TEAD4-human	DNA						2012-09-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF886PFV/, /files/ENCFF345FFX/, /files/ENCFF855LUO/, /files/ENCFF618AQB/, /files/ENCFF356LFX/	391520	ENCODE Processing Pipeline	4e0d0dd4f67b5213c0a9a9112a9972ef		https://www.encodeproject.org/files/ENCFF885PQR/@@download/ENCFF885PQR.bed.gz				released	s3://encode-public/2020/12/26/3fa398a8-7bf1-4b90-bf4c-7ac75d76ec14/ENCFF885PQR.bed.gz	ENCODE4 v1.6.1 GRCh38	released	mixed read lengths, low read depth, inconsistent platforms, low read length		
ENCFF322DAE	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BHN	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										POLR2A-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF069GAM/, /files/ENCFF102CMM/, /files/ENCFF356LFX/, /files/ENCFF595PNZ/	613359	ENCODE Processing Pipeline	6185fc7b7eef226c95744779b6ed977e		https://www.encodeproject.org/files/ENCFF322DAE/@@download/ENCFF322DAE.bed.gz				released	s3://encode-public/2020/12/11/62d5d26c-04d6-4264-a534-b56e73d0f557/ENCFF322DAE.bed.gz	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, low read depth, low read length		
ENCFF942TZX	bigWig	bigWig		signal p-value	GRCh38	ENCSR000BHN	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										POLR2A-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF069GAM/, /files/ENCFF102CMM/, /files/ENCFF595PNZ/	651966050	ENCODE Processing Pipeline	9edfa4129f96dfff7959d6bef25e8aac		https://www.encodeproject.org/files/ENCFF942TZX/@@download/ENCFF942TZX.bigWig				released	s3://encode-public/2020/12/11/8d0458bf-3197-42d9-9379-bbb9312d7b8b/ENCFF942TZX.bigWig	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, low read depth, low read length		
ENCFF566JSR	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BHN	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										POLR2A-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF322DAE/	1307765	ENCODE Processing Pipeline	cdc51bab7022224d63929297e1825a70		https://www.encodeproject.org/files/ENCFF566JSR/@@download/ENCFF566JSR.bigBed				released	s3://encode-public/2020/12/11/7eca34b0-b587-43f2-ba4b-9a553348e957/ENCFF566JSR.bigBed	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, low read depth, low read length		
ENCFF460LNS	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BSJ	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										MAX-human	DNA						2012-09-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF855LUO/, /files/ENCFF356LFX/, /files/ENCFF618AQB/, /files/ENCFF658MJB/, /files/ENCFF338CQJ/	705302	ENCODE Processing Pipeline	49b2fae44d4bb1ea24fc438529071065		https://www.encodeproject.org/files/ENCFF460LNS/@@download/ENCFF460LNS.bed.gz				released	s3://encode-public/2021/01/02/a95b39f2-3e01-453a-b451-c3fb9a6a5347/ENCFF460LNS.bed.gz	ENCODE4 v1.6.1 GRCh38	released	inconsistent platforms		
ENCFF914VQY	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BSJ	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										MAX-human	DNA						2012-09-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF460LNS/	1458261	ENCODE Processing Pipeline	839f97136fc694241afc1b34b5f92f7c		https://www.encodeproject.org/files/ENCFF914VQY/@@download/ENCFF914VQY.bigBed				released	s3://encode-public/2021/01/02/676beb1d-24c3-470a-979c-2808c716facc/ENCFF914VQY.bigBed	ENCODE4 v1.6.1 GRCh38	released	inconsistent platforms		
ENCFF527YHZ	bigWig	bigWig		signal p-value	GRCh38	ENCSR000BSJ	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										MAX-human	DNA						2012-09-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF855LUO/, /files/ENCFF658MJB/, /files/ENCFF338CQJ/, /files/ENCFF618AQB/	1073222717	ENCODE Processing Pipeline	fb7603ff28e8da38b153b8030606f2fb		https://www.encodeproject.org/files/ENCFF527YHZ/@@download/ENCFF527YHZ.bigWig				released	s3://encode-public/2021/01/02/11db4e03-d233-4ee6-904c-ac56e040ae7c/ENCFF527YHZ.bigWig	ENCODE4 v1.6.1 GRCh38	released	inconsistent platforms		
ENCFF698DKQ	bigWig	bigWig		signal p-value	GRCh38	ENCSR814XPE	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K4me3-human	DNA						2016-11-08	ENCODE		none, shearing (Covaris generic), sonication (generic), sonication (Bioruptor Twin)	300-600, 200-600	1, 2	1_1, 2_1, 2_2							/files/ENCFF451YMU/, /files/ENCFF853FRF/, /files/ENCFF381IYY/, /files/ENCFF765FFD/, /files/ENCFF151CFM/, /files/ENCFF623AJW/	2535335257	ENCODE Processing Pipeline	c28ea6e87e4e13b46a80224d61d660e6		https://www.encodeproject.org/files/ENCFF698DKQ/@@download/ENCFF698DKQ.bigWig				released	s3://encode-public/2021/02/01/d555bc6e-5192-4602-9c1e-6a0fa0204318/ENCFF698DKQ.bigWig	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, low read length		
ENCFF991DOM	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR814XPE	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K4me3-human	DNA						2016-11-08	ENCODE		none, shearing (Covaris generic), sonication (generic), sonication (Bioruptor Twin)	300-600, 200-600	1, 2	1_1, 2_1, 2_2							/files/ENCFF041HYH/	2713382	ENCODE Processing Pipeline	924721d17da3c76c6908bc436f0c1f67		https://www.encodeproject.org/files/ENCFF991DOM/@@download/ENCFF991DOM.bigBed				released	s3://encode-public/2021/02/01/e43ff5e4-4ca9-4bf8-89e9-30785c7c632b/ENCFF991DOM.bigBed	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, low read length		
ENCFF041HYH	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR814XPE	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K4me3-human	DNA						2016-11-08	ENCODE		none, shearing (Covaris generic), sonication (generic), sonication (Bioruptor Twin)	300-600, 200-600	1, 2	1_1, 2_1, 2_2							/files/ENCFF451YMU/, /files/ENCFF853FRF/, /files/ENCFF356LFX/, /files/ENCFF381IYY/, /files/ENCFF765FFD/, /files/ENCFF151CFM/, /files/ENCFF623AJW/	1260048	ENCODE Processing Pipeline	29a1565ac936678b7d92cd82a252b250		https://www.encodeproject.org/files/ENCFF041HYH/@@download/ENCFF041HYH.bed.gz				released	s3://encode-public/2021/02/01/557d73dc-5d3c-4255-a04b-749b4ce8f428/ENCFF041HYH.bed.gz	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, low read length		
ENCFF269CHA	bigWig	bigWig		signal p-value	GRCh38	ENCSR000AVC	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										KDM4A-human	DNA						2012-08-06	ENCODE		see document		1	1_1							/files/ENCFF623AJW/, /files/ENCFF381IYY/, /files/ENCFF451YMU/, /files/ENCFF457WSL/, /files/ENCFF853FRF/	1798238808	ENCODE Processing Pipeline	a4a9ca5c9c75fe14056f086fa943346b		https://www.encodeproject.org/files/ENCFF269CHA/@@download/ENCFF269CHA.bigWig				released	s3://encode-public/2021/03/20/00c9e03a-cca8-49a1-8ab0-6a1482baa67c/ENCFF269CHA.bigWig	ENCODE4 v1.7.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth, inconsistent platforms, low read length	severe bottlenecking	
ENCFF078LED	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000AVC	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										KDM4A-human	DNA						2012-08-06	ENCODE		see document		1	1_1							/files/ENCFF021QGZ/	1613192	ENCODE Processing Pipeline	7df64518d26e9426e3487806036b99c5		https://www.encodeproject.org/files/ENCFF078LED/@@download/ENCFF078LED.bigBed				released	s3://encode-public/2021/03/20/773ee3dd-f688-4a7c-9b32-4f2c661282b2/ENCFF078LED.bigBed	ENCODE4 v1.7.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth, inconsistent platforms, low read length	severe bottlenecking	
ENCFF021QGZ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000AVC	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										KDM4A-human	DNA						2012-08-06	ENCODE		see document		1	1_1							/files/ENCFF623AJW/, /files/ENCFF451YMU/, /files/ENCFF457WSL/, /files/ENCFF356LFX/, /files/ENCFF381IYY/, /files/ENCFF853FRF/	619130	ENCODE Processing Pipeline	1f1bfb8de62a6052e7f400606e8eec6d		https://www.encodeproject.org/files/ENCFF021QGZ/@@download/ENCFF021QGZ.bed.gz				released	s3://encode-public/2021/03/20/9d7f2074-a917-4a1b-bfa1-0c74a198645b/ENCFF021QGZ.bed.gz	ENCODE4 v1.7.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth, inconsistent platforms, low read length	severe bottlenecking	
ENCFF219HGK	bigWig	bigWig		signal p-value	GRCh38	ENCSR000EUN	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										ZNF274-human	DNA						2012-08-20	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF526ZIN/, /files/ENCFF276WGP/, /files/ENCFF912SAD/	771832746	ENCODE Processing Pipeline	7f2379cbe20bbd55a3536542d08df936		https://www.encodeproject.org/files/ENCFF219HGK/@@download/ENCFF219HGK.bigWig				released	s3://encode-public/2021/02/16/78497b54-294e-4384-9fe2-79f1a4fd3045/ENCFF219HGK.bigWig	ENCODE4 v1.7.0 GRCh38	released	low read length, borderline replicate concordance		extremely low read depth
ENCFF434LDY	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EUN	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										ZNF274-human	DNA						2012-08-20	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF718OGI/	152754	ENCODE Processing Pipeline	c5b063fcfa3ac842a691330533806a26		https://www.encodeproject.org/files/ENCFF434LDY/@@download/ENCFF434LDY.bigBed				released	s3://encode-public/2021/02/16/c08bb10a-14f5-4966-bb73-f7659dde8c3a/ENCFF434LDY.bigBed	ENCODE4 v1.7.0 GRCh38	released	low read length, borderline replicate concordance		extremely low read depth
ENCFF718OGI	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EUN	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										ZNF274-human	DNA						2012-08-20	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF526ZIN/, /files/ENCFF276WGP/, /files/ENCFF912SAD/, /files/ENCFF356LFX/	26786	ENCODE Processing Pipeline	7e5bb2052d9e805c1b2e71d728637010		https://www.encodeproject.org/files/ENCFF718OGI/@@download/ENCFF718OGI.bed.gz				released	s3://encode-public/2021/02/16/56be009b-ee57-4c34-8108-4be119f19a4f/ENCFF718OGI.bed.gz	ENCODE4 v1.7.0 GRCh38	released	low read length, borderline replicate concordance		extremely low read depth
ENCFF955PMP	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BSN	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										CREB1-human	DNA						2012-09-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF978KGB/	678894	ENCODE Processing Pipeline	606d1428baae6099e93cca8c0820ee1d		https://www.encodeproject.org/files/ENCFF955PMP/@@download/ENCFF955PMP.bigBed				released	s3://encode-public/2021/01/05/85ef5b70-892a-4e79-bb84-114b5ee0c704/ENCFF955PMP.bigBed	ENCODE4 v1.6.1 GRCh38	released	inconsistent platforms		
